points: 500; time: 0.0079842 seconds
points: 1000; time: 0.0107381 seconds
points: 1500; time: 0.0177667 seconds
points: 2000; time: 0.0260438 seconds
points: 2500; time: 0.0345609 seconds
points: 3000; time: 0.03996 seconds
points: 3500; time: 0.039653 seconds
points: 4000; time: 0.0441476 seconds
points: 4500; time: 0.0640048 seconds
points: 5000; time: 0.0427183 seconds
points: 5500; time: 0.0497749 seconds
points: 6000; time: 0.05034 seconds
points: 6500; time: 0.0519539 seconds
points: 7000; time: 0.060697 seconds
points: 7500; time: 0.0696142 seconds
points: 8000; time: 0.165041 seconds
points: 8500; time: 0.066888 seconds
points: 9000; time: 0.0751451 seconds
points: 9500; time: 0.0827586 seconds
points: 10000; time: 0.0917743 seconds
points: 10500; time: 0.105618 seconds
points: 11000; time: 0.100305 seconds
points: 11500; time: 0.0892134 seconds
points: 12000; time: 0.109298 seconds
points: 12500; time: 0.112286 seconds
points: 13000; time: 0.109669 seconds
points: 13500; time: 0.111497 seconds
points: 14000; time: 0.109714 seconds
points: 14500; time: 0.13217 seconds
points: 15000; time: 0.132401 seconds
points: 15500; time: 0.119936 seconds
points: 16000; time: 0.123727 seconds
points: 16500; time: 0.129138 seconds
points: 17000; time: 0.131392 seconds
points: 17500; time: 0.140144 seconds
points: 18000; time: 0.139331 seconds
points: 18500; time: 0.14507 seconds
points: 19000; time: 0.147241 seconds
points: 19500; time: 0.151147 seconds
points: 20000; time: 0.149921 seconds
points: 20500; time: 0.153832 seconds
points: 21000; time: 0.162401 seconds
points: 21500; time: 0.167019 seconds
points: 22000; time: 0.170788 seconds
points: 22500; time: 0.180365 seconds
points: 23000; time: 0.182447 seconds
points: 23500; time: 0.176184 seconds
points: 24000; time: 0.184714 seconds
points: 24500; time: 0.187261 seconds
points: 25000; time: 0.198577 seconds
points: 25500; time: 0.192516 seconds
points: 26000; time: 0.205004 seconds
points: 26500; time: 0.210922 seconds
points: 27000; time: 0.225441 seconds
points: 27500; time: 0.215077 seconds
points: 28000; time: 0.214405 seconds
points: 28500; time: 0.224356 seconds
points: 29000; time: 0.276383 seconds
points: 29500; time: 0.233709 seconds
points: 30000; time: 0.239205 seconds
points: 30500; time: 0.229326 seconds
points: 31000; time: 0.240553 seconds
points: 31500; time: 0.240703 seconds
points: 32000; time: 0.251238 seconds
points: 32500; time: 0.253998 seconds
points: 33000; time: 0.276228 seconds
points: 33500; time: 0.261934 seconds
points: 34000; time: 0.263234 seconds
points: 34500; time: 0.270143 seconds
points: 35000; time: 0.270672 seconds
points: 35500; time: 0.281139 seconds
points: 36000; time: 0.281699 seconds
points: 36500; time: 0.289063 seconds
points: 37000; time: 0.285545 seconds
points: 37500; time: 0.292882 seconds
points: 38000; time: 0.310873 seconds
points: 38500; time: 0.336153 seconds
points: 39000; time: 0.2998 seconds
points: 39500; time: 0.303016 seconds
points: 40000; time: 0.310198 seconds
points: 40500; time: 0.311463 seconds
points: 41000; time: 0.315503 seconds
points: 41500; time: 0.320708 seconds
points: 42000; time: 0.323044 seconds
points: 42500; time: 0.328643 seconds
points: 43000; time: 0.334052 seconds
points: 43500; time: 0.334782 seconds
points: 44000; time: 0.341092 seconds
points: 44500; time: 0.34344 seconds
points: 45000; time: 0.342405 seconds
points: 45500; time: 0.361025 seconds
points: 46000; time: 0.407639 seconds
points: 46500; time: 0.352624 seconds
points: 47000; time: 0.358847 seconds
points: 47500; time: 0.364312 seconds
points: 48000; time: 0.37573 seconds
points: 48500; time: 0.367986 seconds
points: 49000; time: 0.374505 seconds
points: 49500; time: 0.391004 seconds
points: 50000; time: 0.378505 seconds
