points: 500; time: 0.0259401 seconds
points: 1000; time: 0.0517665 seconds
points: 1500; time: 0.0779461 seconds
points: 2000; time: 0.105439 seconds
points: 2500; time: 0.135044 seconds
points: 3000; time: 0.158965 seconds
points: 3500; time: 0.186834 seconds
points: 4000; time: 0.207612 seconds
points: 4500; time: 0.233882 seconds
points: 5000; time: 0.260086 seconds
points: 5500; time: 0.283069 seconds
points: 6000; time: 0.304615 seconds
points: 6500; time: 0.34077 seconds
points: 7000; time: 0.357216 seconds
points: 7500; time: 0.385926 seconds
points: 8000; time: 0.406493 seconds
points: 8500; time: 0.436704 seconds
points: 9000; time: 0.45542 seconds
points: 9500; time: 0.501872 seconds
points: 10000; time: 0.517217 seconds
points: 10500; time: 0.546328 seconds
points: 11000; time: 0.562982 seconds
points: 11500; time: 0.595343 seconds
points: 12000; time: 0.615977 seconds
points: 12500; time: 0.65237 seconds
points: 13000; time: 0.670629 seconds
points: 13500; time: 0.692124 seconds
points: 14000; time: 0.717537 seconds
points: 14500; time: 0.742069 seconds
points: 15000; time: 0.768944 seconds
points: 15500; time: 0.804479 seconds
points: 16000; time: 0.826709 seconds
points: 16500; time: 0.847159 seconds
points: 17000; time: 0.879402 seconds
points: 17500; time: 0.92932 seconds
points: 18000; time: 0.932292 seconds
points: 18500; time: 0.958858 seconds
points: 19000; time: 0.974626 seconds
points: 19500; time: 1.01818 seconds
points: 20000; time: 1.02924 seconds
points: 20500; time: 1.05577 seconds
points: 21000; time: 1.07968 seconds
points: 21500; time: 1.10936 seconds
points: 22000; time: 1.12961 seconds
points: 22500; time: 1.14448 seconds
points: 23000; time: 1.19864 seconds
points: 23500; time: 1.22661 seconds
points: 24000; time: 1.22742 seconds
points: 24500; time: 1.25077 seconds
points: 25000; time: 1.28781 seconds
points: 25500; time: 1.3118 seconds
points: 26000; time: 1.35713 seconds
points: 26500; time: 1.3664 seconds
points: 27000; time: 1.3999 seconds
points: 27500; time: 1.42804 seconds
points: 28000; time: 1.45601 seconds
points: 28500; time: 1.46608 seconds
points: 29000; time: 1.49033 seconds
points: 29500; time: 1.52163 seconds
points: 30000; time: 1.5489 seconds
points: 30500; time: 1.8222 seconds
points: 31000; time: 1.60297 seconds
points: 31500; time: 1.6304 seconds
points: 32000; time: 1.65193 seconds
points: 32500; time: 1.67694 seconds
points: 33000; time: 1.70123 seconds
points: 33500; time: 1.72055 seconds
points: 34000; time: 1.74984 seconds
points: 34500; time: 1.76833 seconds
points: 35000; time: 1.80139 seconds
points: 35500; time: 1.83294 seconds
points: 36000; time: 1.84887 seconds
points: 36500; time: 1.88926 seconds
points: 37000; time: 1.90204 seconds
points: 37500; time: 1.92909 seconds
points: 38000; time: 1.94371 seconds
points: 38500; time: 1.98547 seconds
points: 39000; time: 2.00598 seconds
points: 39500; time: 2.02698 seconds
points: 40000; time: 2.06264 seconds
points: 40500; time: 2.08608 seconds
points: 41000; time: 2.08497 seconds
points: 41500; time: 2.1325 seconds
points: 42000; time: 2.15363 seconds
points: 42500; time: 2.19353 seconds
points: 43000; time: 2.21981 seconds
points: 43500; time: 2.22995 seconds
points: 44000; time: 2.26052 seconds
points: 44500; time: 2.30104 seconds
points: 45000; time: 2.33631 seconds
points: 45500; time: 2.35411 seconds
points: 46000; time: 2.36229 seconds
points: 46500; time: 2.41086 seconds
points: 47000; time: 2.42443 seconds
points: 47500; time: 2.44028 seconds
points: 48000; time: 2.46099 seconds
points: 48500; time: 2.5015 seconds
points: 49000; time: 2.5068 seconds
points: 49500; time: 2.54522 seconds
points: 50000; time: 2.59356 seconds
