points: 9; time: 0.0245408 seconds
points: 18; time: 0.0241428 seconds
points: 27; time: 0.0239152 seconds
points: 36; time: 0.0243421 seconds
points: 45; time: 0.0258314 seconds
points: 54; time: 0.0244933 seconds
points: 63; time: 0.0248009 seconds
points: 72; time: 0.0261994 seconds
points: 81; time: 0.0265694 seconds
points: 90; time: 0.0254495 seconds
points: 99; time: 0.0272889 seconds
points: 108; time: 0.0267632 seconds
points: 117; time: 0.0267358 seconds
points: 126; time: 0.0272618 seconds
points: 135; time: 0.0276512 seconds
points: 144; time: 0.0288413 seconds
points: 153; time: 0.0298553 seconds
points: 162; time: 0.0286384 seconds
points: 171; time: 0.0313801 seconds
points: 180; time: 0.0325813 seconds
points: 189; time: 0.0365389 seconds
points: 198; time: 0.0329066 seconds
points: 207; time: 0.0367034 seconds
points: 216; time: 0.0411573 seconds
points: 225; time: 0.0372654 seconds
points: 234; time: 0.0359093 seconds
points: 243; time: 0.0346704 seconds
points: 252; time: 0.0374901 seconds
points: 261; time: 0.039454 seconds
points: 270; time: 0.0387382 seconds
points: 279; time: 0.0375656 seconds
points: 288; time: 0.0390674 seconds
points: 297; time: 0.0407899 seconds
points: 306; time: 0.0412125 seconds
points: 315; time: 0.0445645 seconds
points: 324; time: 0.0509943 seconds
points: 333; time: 0.0466574 seconds
points: 342; time: 0.0448018 seconds
points: 351; time: 0.0479553 seconds
points: 360; time: 0.0497012 seconds
points: 369; time: 0.0475522 seconds
points: 378; time: 0.0469895 seconds
points: 387; time: 0.0487144 seconds
points: 396; time: 0.0507372 seconds
points: 405; time: 0.0522089 seconds
points: 414; time: 0.0506461 seconds
points: 423; time: 0.0513182 seconds
points: 432; time: 0.0557887 seconds
points: 441; time: 0.0564293 seconds
points: 450; time: 0.0569463 seconds
points: 459; time: 0.0598404 seconds
points: 468; time: 0.0598244 seconds
points: 477; time: 0.0595769 seconds
points: 486; time: 0.0741152 seconds
points: 495; time: 0.0642074 seconds
points: 504; time: 0.0697661 seconds
points: 513; time: 0.0601161 seconds
points: 522; time: 0.0619614 seconds
points: 531; time: 0.0606432 seconds
points: 540; time: 0.0688515 seconds
points: 549; time: 0.0679232 seconds
points: 558; time: 0.0723056 seconds
points: 567; time: 0.129878 seconds
points: 576; time: 0.0729486 seconds
points: 585; time: 0.0675071 seconds
points: 594; time: 0.0784467 seconds
points: 603; time: 0.0748325 seconds
points: 612; time: 0.0896533 seconds
points: 621; time: 0.0557467 seconds
points: 630; time: 0.0549256 seconds
points: 639; time: 0.0553129 seconds
points: 648; time: 0.0548784 seconds
points: 657; time: 0.0672444 seconds
points: 666; time: 0.0650013 seconds
points: 675; time: 0.0634255 seconds
points: 684; time: 0.0728695 seconds
points: 693; time: 0.0728829 seconds
points: 702; time: 0.0747878 seconds
points: 711; time: 0.0803435 seconds
points: 720; time: 0.0677678 seconds
points: 729; time: 0.0684359 seconds
points: 738; time: 0.0779836 seconds
points: 747; time: 0.079863 seconds
points: 756; time: 0.0776034 seconds
points: 765; time: 0.0845411 seconds
points: 774; time: 0.0866404 seconds
points: 783; time: 0.0860242 seconds
points: 792; time: 0.0895118 seconds
points: 801; time: 0.0877112 seconds
points: 810; time: 0.0856793 seconds
points: 819; time: 0.0899379 seconds
points: 828; time: 0.0906073 seconds
points: 837; time: 0.0897472 seconds
points: 846; time: 0.107469 seconds
points: 855; time: 0.104002 seconds
points: 864; time: 0.0986986 seconds
points: 873; time: 0.100334 seconds
points: 882; time: 0.0957723 seconds
points: 891; time: 0.0896176 seconds
points: 900; time: 0.0910439 seconds
points: 909; time: 0.102192 seconds
points: 918; time: 0.149629 seconds
points: 927; time: 0.0921749 seconds
points: 936; time: 0.0929967 seconds
points: 945; time: 0.0933622 seconds
points: 954; time: 0.0923316 seconds
points: 963; time: 0.0929895 seconds
points: 972; time: 0.0973526 seconds
points: 981; time: 0.0979252 seconds
points: 990; time: 0.102013 seconds
points: 999; time: 0.0974738 seconds
points: 1008; time: 0.0975395 seconds
points: 1017; time: 0.100032 seconds
points: 1026; time: 0.107978 seconds
points: 1035; time: 0.117502 seconds
points: 1044; time: 0.114141 seconds
points: 1053; time: 0.10454 seconds
points: 1062; time: 0.105102 seconds
points: 1071; time: 0.104302 seconds
points: 1080; time: 0.100835 seconds
points: 1089; time: 0.107925 seconds
points: 1098; time: 0.108481 seconds
points: 1107; time: 0.114211 seconds
points: 1116; time: 0.115481 seconds
points: 1125; time: 0.111423 seconds
points: 1134; time: 0.105404 seconds
points: 1143; time: 0.109867 seconds
