points: 9; time: 0.0100007 seconds
points: 18; time: 0.0234681 seconds
points: 27; time: 0.0354489 seconds
points: 36; time: 0.0467908 seconds
points: 45; time: 0.0567889 seconds
points: 54; time: 0.0624807 seconds
points: 63; time: 0.0726913 seconds
points: 72; time: 0.0900761 seconds
points: 81; time: 0.0919547 seconds
points: 90; time: 0.107522 seconds
points: 99; time: 0.118407 seconds
points: 108; time: 0.127452 seconds
points: 117; time: 0.130541 seconds
points: 126; time: 0.155894 seconds
points: 135; time: 0.170973 seconds
points: 144; time: 0.171752 seconds
points: 153; time: 0.179992 seconds
points: 162; time: 0.188857 seconds
points: 171; time: 0.191573 seconds
points: 180; time: 0.206403 seconds
points: 189; time: 0.234028 seconds
points: 198; time: 0.229492 seconds
points: 207; time: 0.227249 seconds
points: 216; time: 0.243015 seconds
points: 225; time: 0.257713 seconds
points: 234; time: 0.274456 seconds
points: 243; time: 0.286191 seconds
points: 252; time: 0.281459 seconds
points: 261; time: 0.292452 seconds
points: 270; time: 0.306731 seconds
points: 279; time: 0.330478 seconds
points: 288; time: 0.324008 seconds
points: 297; time: 0.340534 seconds
points: 306; time: 0.36014 seconds
points: 315; time: 0.388814 seconds
points: 324; time: 0.35565 seconds
points: 333; time: 0.366375 seconds
points: 342; time: 0.383455 seconds
points: 351; time: 0.393174 seconds
points: 360; time: 0.412628 seconds
points: 369; time: 0.409235 seconds
points: 378; time: 0.423114 seconds
points: 387; time: 0.436624 seconds
points: 396; time: 0.44141 seconds
points: 405; time: 0.452329 seconds
points: 414; time: 0.464249 seconds
points: 423; time: 0.523628 seconds
points: 432; time: 0.481885 seconds
points: 441; time: 0.489407 seconds
points: 450; time: 0.502109 seconds
points: 459; time: 0.505893 seconds
points: 468; time: 0.520681 seconds
points: 477; time: 0.535019 seconds
points: 486; time: 0.543476 seconds
points: 495; time: 0.54718 seconds
points: 504; time: 0.563139 seconds
points: 513; time: 0.628504 seconds
points: 522; time: 0.574493 seconds
points: 531; time: 0.603032 seconds
points: 540; time: 0.608438 seconds
points: 549; time: 0.612625 seconds
points: 558; time: 0.629814 seconds
points: 567; time: 0.638904 seconds
points: 576; time: 0.647717 seconds
points: 585; time: 0.719243 seconds
points: 594; time: 0.67909 seconds
points: 603; time: 0.670943 seconds
points: 612; time: 0.69849 seconds
points: 621; time: 0.689706 seconds
points: 630; time: 0.775972 seconds
points: 639; time: 0.710225 seconds
points: 648; time: 0.773362 seconds
points: 657; time: 0.779516 seconds
points: 666; time: 0.76737 seconds
points: 675; time: 0.775652 seconds
points: 684; time: 0.785051 seconds
points: 693; time: 0.785627 seconds
points: 702; time: 0.796273 seconds
points: 711; time: 0.849435 seconds
points: 720; time: 0.794323 seconds
points: 729; time: 0.825794 seconds
points: 738; time: 0.837983 seconds
points: 747; time: 0.850479 seconds
points: 756; time: 0.859266 seconds
points: 765; time: 0.913837 seconds
points: 774; time: 0.874137 seconds
points: 783; time: 0.907002 seconds
points: 792; time: 0.909875 seconds
points: 801; time: 0.90776 seconds
points: 810; time: 0.929365 seconds
points: 819; time: 0.99267 seconds
points: 828; time: 0.930436 seconds
points: 837; time: 0.953376 seconds
points: 846; time: 0.981986 seconds
points: 855; time: 1.0059 seconds
points: 864; time: 1.02174 seconds
points: 873; time: 1.00442 seconds
points: 882; time: 0.994822 seconds
points: 891; time: 1.01973 seconds
points: 900; time: 1.02511 seconds
points: 909; time: 1.11582 seconds
points: 918; time: 1.03377 seconds
points: 927; time: 1.06091 seconds
points: 936; time: 1.07152 seconds
points: 945; time: 1.06953 seconds
points: 954; time: 1.11487 seconds
points: 963; time: 1.10586 seconds
points: 972; time: 1.0987 seconds
points: 981; time: 1.1223 seconds
points: 990; time: 1.11534 seconds
points: 999; time: 1.15801 seconds
points: 1008; time: 1.16171 seconds
points: 1017; time: 1.15573 seconds
points: 1026; time: 1.18199 seconds
points: 1035; time: 1.25134 seconds
points: 1044; time: 1.1863 seconds
points: 1053; time: 1.18545 seconds
points: 1062; time: 1.19983 seconds
points: 1071; time: 1.25099 seconds
points: 1080; time: 1.21887 seconds
points: 1089; time: 1.25354 seconds
points: 1098; time: 1.25535 seconds
points: 1107; time: 1.25427 seconds
points: 1116; time: 1.27105 seconds
points: 1125; time: 1.29396 seconds
points: 1134; time: 1.29486 seconds
points: 1143; time: 1.30501 seconds
